time,sm_c4grass,rfe,rfe_filled,temperature_2m_mean (°C),relative_humidity_2m_mean (%)
17/09/2017,9.53,1.1,1.1,30.5,44
18/09/2017,9.52,0,0,26.8,73
19/09/2017,9.51,0,0,27.9,61
20/09/2017,9.5,0,0,28.8,50
21/09/2017,9.49,0,0,29.2,48
22/09/2017,9.48,0,0,29.2,44
23/09/2017,9.47,0,0,30,37
24/09/2017,9.46,0,0,30.5,35
25/09/2017,9.45,0,0,30.4,36
26/09/2017,9.44,0,0,30.4,35
27/09/2017,9.43,0,0,31,34
28/09/2017,9.42,0,0,31.2,34
29/09/2017,9.41,0,0,30.6,37
30/09/2017,9.4,1.3,1.3,30.1,40
01/10/2017,9.39,0,0,30.2,38
02/10/2017,9.38,0,0,30.4,37
03/10/2017,9.37,0,0,30.5,34
04/10/2017,9.36,0,0,30.9,31
05/10/2017,9.35,0,0,30.2,37
06/10/2017,9.34,0,0,30.5,37
07/10/2017,9.33,0,0,30.7,36
08/10/2017,9.32,0,0,29.8,40
09/10/2017,9.31,0,0,31.1,36
10/10/2017,9.3,0,0,30.8,36
11/10/2017,9.3,1.1,1.1,29.3,46
12/10/2017,9.29,3,3,25.6,72
13/10/2017,9.28,0,0,25.8,78
