timestamp,temp,hum,rain,prev_sm
400500000,21.6,84.8,0.1,97.91
401400000,21,86.9,0.1,98.46
402300000,22,85.9,0,98.14
403200000,22.7,83.7,0,97.85
404100000,25.5,74.9,0,97.52
405000000,27.2,68.8,0,97.14
405900000,27.7,65.7,0,96.69
406800000,27.5,67.4,0,96.31
407700000,29.8,61.6,0,95.78
408600000,31.8,55.7,0,95.23
409500000,29.6,61.1,0,94.75
410400000,32.3,55.3,0,94.13
411300000,35.8,46.3,0,93.42
412200000,33.3,49.1,0,92.71
413100000,34.9,48.2,0.1,94.37
414000000,33.4,49,0.1,95.47
414900000,34.7,49,0.1,96.39
415800000,35.5,43.5,0.1,97.09
416700000,34.5,48.7,0.1,97.64
417600000,31,52.6,0.1,97.86
418500000,29.1,60,0.1,99.48
419400000,27.8,62.5,0.1,98.36
420300000,26.8,65.5,0,97.96
421200000,26.4,65.7,0,97.5
422100000,26.3,68.1,0,97.13
423000000,25.8,66.8,0,96.68
423900000,25.9,68,0,96.28
424800000,25.6,67.5,0,95.82
425700000,25.7,68.4,0,95.49
426600000,25.6,76.1,0,95.14
427500000,25.3,68,0,94.75
428400000,25.1,68.4,0,94.41
429300000,24.6,69.6,0,94.04
430200000,23.7,71.8,0,93.73
431100000,22.9,74.6,0,93.45
432000000,22.3,79.8,0,93.09
432900000,21.7,83.1,0,92.85
433800000,21.2,85.1,0,92.63
434700000,20.7,86,0,92.39
435600000,20.4,87.7,0,92.16
436500000,20.1,89.7,0,91.95
437400000,19.8,90.9,0,91.77
438300000,19.6,92.4,0,91.6
439200000,19.5,93.8,0,91.42
440100000,19.5,95.3,0,91.21
441000000,19.4,94.8,0,90.98
441900000,19.2,94.6,0,90.85
442800000,19,94.2,0,90.68
443700000,18.8,94.6,0,90.45
444600000,18.7,95.4,0,90.28
445500000,18.8,96.7,0,90.08
446400000,18.9,97.1,0,89.88
447300000,19,96.7,0,89.68
448200000,18.9,95.5,0,89.45
449100000,18.6,94.9,0,89.24
450000000,18.3,95,0,88.97
450900000,18.1,95.6,0,88.74
451800000,18,96.3,0,88.55
452700000,18.1,98.1,0,88.29
453600000,18.1,98,0,88.11
454500000,17.9,97.1,0,87.9
455400000,17.8,97.8,0,87.7
456300000,17.8,98.2,0,87.46
457200000,17.6,98.5,0,87.21
458100000,17.7,99.5,0,87.02
459000000,17.7,99.2,0,86.84
459900000,17.5,97.7,0,86.58
460800000,17.4,97.3,0,86.35
461700000,17.2,97.9,0,86.15
462600000,17.3,98.9,0,85.98
463500000,17.4,99.2,0,85.8
464400000,17.5,99,0,85.62
465300000,17.5,99.2,0,85.39
466200000,17.5,98.9,0,85.18
467100000,17.4,98.9,0,85.02
468000000,17.3,99.1,0,84.86
468900000,17.2,98.8,0,84.64
469800000,17.2,99.6,0,84.38
470700000,17.1,100,0,84.24
471600000,17.2,100,0,84.06
472500000,17.1,100,0,83.84
473400000,17,100,0,83.63
474300000,16.9,100,0,83.4
475200000,16.8,99.6,0,83.18
476100000,16.8,99.8,0,83.05
